chapter_id,chapter_name,chapter_no,class_id,class_name,subject_id,subject_name,unit_id,unit_name,unit_no
60ec0d155ee58e000413ae8f,Moment of Inertia,5.6,60c0bcd4ebcff34e68fad7c9,11,60b62b8c4b44826738114ace,Physics,60d1a25b48a5bb000420a4f9,Motion of System of Particles and Rigid Body,5
60ec0d275ee58e000413ae92,Statement of Parallel and Perpendicular Axes Theorems/applications.,5.7,60c0bcd4ebcff34e68fad7c9,11,60b62b8c4b44826738114ace,Physics,60d1a25b48a5bb000420a4f9,Motion of System of Particles and Rigid Body,5
60d568992f660300042ba456,Constructions ,4.5,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abb,Geometry,4
60d1768a7849920004933cdf,Reducing Equations to Simpler Form,2.6,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cab,Linear Equations in One Variable,2
60d1804d7849920004933d77,Test of Divisibility,16.5,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb9,Playing with Numbers,16
60d17aa17849920004933cf9,Constructing a Quadrilateral,4.2,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cad,Practical Geometry,4
60d175967849920004933cc7,Properties of Rational Numbers,1.2,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933caa,Rational Numbers,1
60d175967849920004933cc6,Introduction,1.1,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933caa,Rational Numbers,1
60d17c0b7849920004933d1a,Some More Interesting Patterns,6.3,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933caf,Squares and Square Roots,6
60d17c0b7849920004933d1b,Finding the Square of a Number,6.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933caf,Squares and Square Roots,6
60ed7191da4f9c00044a0d7b,Heron's Formula,5.3,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abc,Mensuration,5
60ed71f6da4f9c00044a0d86,Introduction to Euclid's Geometry,4.6,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abb,Geometry,4
60d17c0b7849920004933d1e,Estimating Square Root,6.7,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933caf,Squares and Square Roots,6
60d179f17849920004933cea,Polygons,3.2,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cac,Understanding Quadrilaterals,3
60d179f17849920004933cec,Kinds of Quadrilaterals,3.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cac,Understanding Quadrilaterals,3
60d17e327849920004933d3a,"Faces, Edges and Vertices",10.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb3,Visualising Solid Shapes,10
60d1a30348a5bb000420a508," Work, Energy and Power",4.1,60c0bcd4ebcff34e68fad7c9,11,60b62b8c4b44826738114ace,Physics,60d1a25b48a5bb000420a4f8,"Work, Energy and Power",4
60d1a7b348a5bb000420a53e,Applications of Derivatives,3.2,60bf71dad38e530a98c857fe,12,60b62b974b44826738114ad0,Maths,60d1a72448a5bb000420a535,Calculus,3
60d17b037849920004933cfd,Grouping Data,5.3,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cae,Data Handling,5
60ed706eda4f9c00044a0d5d,Introduction,5.6,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cae,Data Handling,5
60ed7488acff670004ad7fea,"Heat, work and Internal Energy",8.2,60c0bcd4ebcff34e68fad7c9,11,60b62b8c4b44826738114ace,Physics,60d1a25b48a5bb000420a4fc,Thermodynamics,8
60ed749eacff670004ad7ff5,Law of Thermodynamics,8.3,60c0bcd4ebcff34e68fad7c9,11,60b62b8c4b44826738114ace,Physics,60d1a25b48a5bb000420a4fc,Thermodynamics,8
60d17e327849920004933d38,View of 3D-Shapes,10.2,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb3,Visualising Solid Shapes,10
60d1a77e48a5bb000420a53c, Determinants,2.2,60bf71dad38e530a98c857fe,12,60b62b974b44826738114ad0,Maths,60d1a72448a5bb000420a534,Algebra,2
60d17f4a7849920004933d50,Introduction,12.1,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb5,Exponents and Powers,12
60d17fe87849920004933d61,Introduction,14.1,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb7,Factorisation,14
60d17fe87849920004933d64,Division of Algebraic Expressions Continued (Polynomial / Polynomial),14.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb7,Factorisation,14
60d17df17849920004933d2b,What are Expressions?,9.1,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb2,Algebraic Expressions and Identities	,9
60ed7363acff670004ad7fa4,Graph Types,15.1,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb8,Introduction to Graphs,15
60ed7672acff670004ad80ad,Polyhedrons,10.5,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb3,Visualising Solid Shapes,10
60d1a34048a5bb000420a50e, Limits and Derivatives,1,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ed,Calculus,4
60d17ee67849920004933d41,Area of General Quadrilateral,11.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cb4,Mensuration,11
60ed7ab2acff670004ad818e,Constructing Triangle,4.4,60bf184a4b91dc3983c12ae7,8,60b62b974b44826738114ad0,Maths,60d174de7849920004933cad,Practical Geometry,4
60d1a2e648a5bb000420a505, Linear Inequalities,2,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4eb,Algebra,2
60ee9040acff670004ad8986,Mathematical Reasoning,6.1,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60ee901bacff670004ad897b,Mathematical Reasoning,6
60d1a2e648a5bb000420a506,Permutations and Combinations,3,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4eb,Algebra,2
60d568b72f660300042ba45a,Areas ,5.1,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abc,Mensuration,5
60d568b72f660300042ba45c,Surface Areas and Volumes,5.2,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abc,Mensuration,5
60d16e6d7849920004933c1f,Altitudes Of A Triangle.,6.3,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be5,The triangle and its properties,6
60d16e6d7849920004933c21,Angle Sum Property Of A Triangle.,6.5,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be5,The triangle and its properties,6
60d1712b7849920004933c5a,Applications.,11.7,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bea,Perimeter and Area,11
60d1712b7849920004933c58,Circles.,11.5,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bea,Perimeter and Area,11
60d1712b7849920004933c55,Squares And Rectangles.,11.2,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bea,Perimeter and Area,11
60eea4a8acff670004ad8d6e,Mathematical Induction ,6,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4eb,Algebra,2
60d1712b7849920004933c57,Area Of A Triangle.,11.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bea,Perimeter and Area,11
60d16da37849920004933c11,Chance And Probability,3.9,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be2,Data Handling,3
60d1a35d48a5bb000420a513,Probability,2,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ee,Statistics and Probability,5
60d1a19948a5bb000420a4f3,Relations & Functions,2,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ea,Sets and Functions,1
60d568992f660300042ba452,Quadrilaterals ,4.3,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abb,Geometry,4
60d1a2e648a5bb000420a507,Sequence and Series,4,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4eb,Algebra,2
60d16ef47849920004933c2a,Criteria For Congruence Of Triangles.,7.6,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be6,Congruence of Triangles,7
60d1a19948a5bb000420a4f2,Sets,1,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ea,Sets and Functions,1
60d172147849920004933c68,Decimal Number System.,13.5,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bec,Exponents and Powers,13
60d1a35d48a5bb000420a512,Statistics,1,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ee,Statistics and Probability,5
60d172147849920004933c65,Exponents.,13.2,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bec,Exponents and Powers,13
60d568d22f660300042ba462,Probability ,6.2,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abd,Statistics & Probability,6
60d16f737849920004933c2d,Equivalent Ratios.,8.2,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be7,Comparing Quantities,8
60eeb9e7acff670004ad9223,Conversions,8.7,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be7,Comparing Quantities,8
60d171b67849920004933c5d,How Are Expressions Formed?,12.2,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933beb,Algebraic Equations,12
60d16d497849920004933c02,Introduction,2.1,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be1,Fractions and Decimals,2
60d171b67849920004933c63,Using Algebraic Expressions – Formulas And Rules.,12.8,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933beb,Algebraic Equations,12
60d171b67849920004933c5f,Like And Unlike Terms.,12.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933beb,Algebraic Equations,12
60d172667849920004933c74,Introduction: Symmetry,14.1,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bed,Symmetry,14
60d16e6d7849920004933c20,Exterior Angle Of A Triangle And Its Property.,6.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be5,The triangle and its properties,6
60eeacbcacff670004ad8ef9,Calculations of Rational Numbers,9.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be8,Rational Numbers,9
60d1729b7849920004933c7b,Drawing Solids On A Flat Surface.,15.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933bee,Visualising Solid Shapes,15
60d568d22f660300042ba460,Statistics ,6.1,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abd,Statistics & Probability,6
60d1a30a48a5bb000420a509,Straight Lines,1,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ec,Coordinate Geometry,3
60d568992f660300042ba450,Triangles ,4.2,60bf71cad38e530a98c857fc,9,60b62b974b44826738114ad0,Maths,60cb3da6cc9b7012dcf94abb,Geometry,4
60d1a19948a5bb000420a4f4,Trigonometric Functions,3,60c0bcd4ebcff34e68fad7c9,11,60b62b974b44826738114ad0,Maths,60d1a0d048a5bb000420a4ea,Sets and Functions,1
60d16da37849920004933c0f,Median,3.7,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be2,Data Handling,3
60d16da37849920004933c0e,Mode,3.6,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be2,Data Handling,3
60eeacd2acff670004ad8efc,Operations,9.5,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be8,Rational Numbers,9
60d16f737849920004933c2f,Use Of Percentages.,8.4,60dd8c7c01bce4172cf4899a,7,60b62b974b44826738114ad0,Maths,60d16c7e7849920004933be7,Comparing Quantities,8
60d1a7f448a5bb000420a545,Probability,6.1,60bf71dad38e530a98c857fe,12,60b62b974b44826738114ad0,Maths,60d1a72448a5bb000420a538,Probability,6
